Owner,Collateral Type,Collateral Amount,Debt,Successfully Liquidated
SPN6WWD5M6G7PS0CE6N6XB1RX3HCYMTE1G8VF3QK,STX-B,75000000000,50000000000,True
SP18Q3YM95WV5936VRZ70G6BSKW2H5GWW5FTFCFDT,STX-B,10000000,7000000,True
SP1FS9ERDTXYA3NHN0KRE8XH3Y01DDTRSBK31Z1ZZ,STX-A,6900000000,3986000000,True
SP3H2TDA41FD8MSVE73MHTEF75M4JDF7KR6XAXSZB,STX-A,1502288970,379156627,True
SP2CGXF77ZRMA12GCJ3J5PC7XVDNERM02A0HR9M10,STX-A,200000000,100000000,True
SP2C8EV5DNAB2H9JE71GHH60503FNJWTXKBRQP4HS,STX-A,200000000,70628600,True
SP33QWVZAJZJGB5KXSM8MFWWGQDV0S74F8SYSCT0B,STX-A,3000000,1000000,True
,,0,0,False
SP346H4Y8J4MG3E4RMCWT3DJTQ391336Y000SH1V3,STX-A,49000000,27000000,True
SP2A7E530WYEWPAPX4V1W5BQBK3K4DBVZJR6FCQZJ,STX-A,8874035228,4655565799,True
SPEJEG71DNFTDBJESR9291FRS4KF93YG3G5CZ1S5,STX-B,227134490,137000000,False
SPRQC28KFS4QGSE5FCWF0Y6QFEANCGNXHX9YV341,STX-A,150000000,43999273,True
SPYZ6387K72YC3VS7PNYVM8CKF5YZWZSKKG49R5C,STX-A,56539,21195,True
SP3C5ECA2QFB2XF6BTBY3Z006NVTDKNHJM1NTMQT,STX-A,312702439891,74202924778,True
SP28QESDAEJ94D43QVFEPS51J7YVB4YW4XH2N66V7,STX-A,485592320,212434049,True
SP1MS7KGA5WESV319PV9GVKW2FFJJ1YNT9ETC6FQC,STX-A,1552500,866295,True
SP3B1MKY2GG9EWPHQ0NXF73QSGVWXMGPMEXV36248,STX-A,81113,21932,True
SPVY7SXW4WWJ8DV2664DNS3SW8CZCCD3HSMCZ05M,STX-B,3000000,2000000,True
SPV00QHST52GD7D0SEWV3R5N04RD4Q1PMA3TE2MP,STX-A,100000000,33530969,True
SP2BFDET28J9CDFVV26QF7D44R0JM1JY6CGVM0WBD,STX-A,285000000,180000000,True
SP1BJNHYNBYE0R2NSHT54YX7GF73FWB8BP8HWEYC4,STX-A,30000000,16000000,True
SP2A9XSN8MYK60BX67AVM8F5KSFC65EGKSVSWPTHF,STX-A,20000000,9000000,True
SP3D5EHK8SMJ3MMJWYCAKWJ2H4F1JQX85E33ZJDB9,STX-A,5901,3511,False
SP36X9NHRYE4G92VP3CTA11X8BWY683H4WDNFRFXS,STX-A,83032,22067,True
SP2G4SF22876WJWMKZPJ95D1R98V2KX1HA8F6REQF,STX-A,142000000,52000000,True
,,0,0,False
SP3RXG6YN2PAEC1GK16M4KSHMBHAP7880R4F2EQ10,STX-B,105000000,56000000,True
SP1TND71PMH7PY7H464YCYR6Y23XT53DYXT06034F,STX-A,12106871167,3422340271,False
SP3X9696B2ZKFMBHEJF1RBWMYDQ2YGXDA11GFYTE5,STX-B,487267493,202663614,True
SP1X4J3MV14S8JJMJSGHF2BEE4Z4S2JV8F55CMJN8,STX-A,82762,21977,True
SP3SM72BS3133BTNYSWSTEQ1EP44F05YJW0JT0WNB,STX-A,10000000,4000000,True
SP3FBR2AGK5H9QBDH3EEN6DF8EK8JY7RX8QJ5SVTE,STX-B,2000000,1000000,True
SP2YSV51P5KQ0XNXHQD8C5CJDX0AH7RNQD60315PB,STX-A,100000000,30000000,True
SP489BX6RK23ETT0CBWSJ02ESDKTBZVM9P6DVZ0M,STX-A,574400000,229989732,True
SP1WH1R5S238SDR0X087814JRQEX5BHCVYY2JBPRP,STX-A,4761254095,2150000000,True
SP24HQJYVE9W6F0W978MGEQGTZTHQWPP867WX5WRV,STX-A,5470433,3923121,True
,,0,0,False
SP25P3EMKHPCS2FV76MVFE18AMZM5Y4Z6XEVXCHTM,STX-A,82832,21998,True
SP3Y4909R8XTVHPKQEE4C6DVKW6TQ1ZSNAW4W9QH,STX-A,1730991733,540000000,True
SP3703G782B0M0MY6DM1BHS8RPKP1R9KBX486MY3Q,STX-A,4529662919,2300000000,True
SP2Z1W06B63KFYFFVPZ8Y1ZF27HYF3D6ERGZW5QT3,STX-A,300000000,150000000,True
SP3Z40271K667EKJKDJ5610HWMCCTV1W1MH3H8PKE,STX-A,20000000,11000000,True
SP2NFZ7DM6J11RBNJRFVTSXSF0EP8KCZM45W8MECW,STX-A,81413,22020,True
SP1CXDQR133G73DD3QPDMK5MQWHRC6Z0YMN80HR99,STX-A,2443535,995496,True
SP1XD3FHNYJ6CVD562532KVQ6NVYAR56G0TQMQ429,STX-B,1026000000,650000000,True
SP1ENKCWGFTYWVB1TTJ4W5AC0X9EQ2J6FB75D27TS,STX-A,64913,21747,True
SP13Z197NXDAKYM15ZKDK8Y7JQ07D5656GR7QS3V4,STX-A,60000000,24716744,True
SP06FB4SZVEPDHF23Q91D4T2KMQWW8C5JMEQ15XN,STX-A,11581257466,4702259913,True
SPVXCKQY7CTNP1H3VVN4M9R3S1R8QJF66P555F8N,STX-A,451553559,330000000,True
SP2WR6KMXZA4953GHW1B9YXWSJYYJANM2M6B0GPZS,STX-B,10000000,3000000,True
SP1WN14EFH3AENCE7P79KS9E9FZ6QH4TNCPE1163,STX-B,49000000,30000000,True
SPGATZ86JD8WNE6CR5H157ERWD3QG10KMY9SDHYH,STX-A,1032192129,567902578,False
SPBVSBT11S2T20ZRDHX1A9G13PYHPNNYJGHNWM19,STX-A,25000000,10000000,True
SPR11YBZY0MM5AZFTQQEX1X1K9EN9TZZF0G21YBJ,STX-A,510000000,140000000,True
,,0,0,False
SPXFCT0TMAKQ0QHN9BDQ0ZYTDXWBW65BD9AEECJG,STX-A,41737485,15000000,True
SP2G962KFNJGXDN3M5KC1SB06BQAHZ9ESM5JX201H,STX-A,2000000,1000000,True
SP2277PPJAZDPPN9MH9ZDA1AJ2GGAEY2BDW09H1Z0,STX-A,3843118383,1097000000,True
SP47VWF5DAX335BA40GV0F0PK0MJRGKK5Y05CBJ1,STX-A,20000000,9000000,True
SP2J53NTNWK3ZP61TVEAVE4VMV7NMZHGSJ1KG759,STX-A,389000000,101282464,True
,,0,0,False
SP1RWED16ENYSGG5H5CJBGXNWN7QWPS73YA8QJBKY,STX-A,1600000000,650000000,True
SPKQYX7V64SGYPZGBC7MV98MX4D39SCF45PQN9MD,STX-A,7703036409,3594239511,True
SP36WZAANJF0DBV7D7487SMAX8TJ1EEGKMTX1ZRV6,STX-A,768003545,332295000,True
SP25580K1TBHC87TX5K605GVP78422F8FYCHHMPM2,STX-A,50000000,27000000,True
SPS8MTYCK7KJV6CB69JRJKSQMA1MSNKZKV6TE4Q1,STX-A,69280,22077,True
SPF59PQGPSBZSYNGR6K22B5EC291HV5FMTBRVCA2,STX-A,3062799638,733997444,True
SP32NTG209B861QBHF4TH0C86QB0A12TY2F16WHMY,STX-A,9457000000,4011000000,True
SP2ESTD148ZCBTH37FA20H7H2V8DDCW7S4D95E1C0,STX-A,10000000,5000000,True
SP3Z5DK1KFP3YFFVPWY4NGQZEJVP3532FYN2A7E63,STX-A,4317941373,1052731903,True
SP2RHCM6K2Z3D40Z4HR5XQ4N86W8GRT4FXDM3WX16,STX-A,4182785582,1972464185,False
SP1WHCEF60XCC1K5W0B6FDRE5305KXXSHC4D07BK7,STX-A,11000000000,6306000000,True
SP1079Y0A0F03TM9M6W0NW6ER7MNX1W2FZF37X05V,STX-A,166524,61668,True
,,0,0,False
SP32SZMWQ507C9TEYDRMXKXM4N80XBTB3KC821P2P,STX-A,1860000,1000000,True
SP2HTJ0Q14G2YKQH736PBVKAMFQKMWE57X08TEA8X,STX-A,82780,21986,True
SP30BTV3905TS3A83CENN271AHZHGM4C3FDZX3JNR,STX-A,400000000,229000000,True
SPEJEG71DNFTDBJESR9291FRS4KF93YG3G5CZ1S5,STX-A,2135064210,1129000000,True
SP1T7W0076597AGX9A2RJRX033NTTAS9W4CQ7QHBX,STX-A,81213,21948,True
SP335ZC3W6M308ZKTSCCBMR54GWA20RSXCKJPZC59,STX-B,142000000000,35049145188,True
SP2CSPPQ772QM43DD77XFBAGE70SVV2M85V3EMVMN,STX-B,10000,4126,True
SP2G8V5G9CAQ73XMX56VENNTHH7QNZRPR55YMAYBY,STX-A,1261644418,700000000,False
,,0,0,False
SPN2DQA1B5DD54BFZ86WP6Q5FJDDDH4D18PSRJPJ,STX-B,33942065226,20257580000,False
SP1TX6C96KDC5W1JJAY14HMN145731YE9WSY387F1,STX-A,127000000,60000000,True
SP2EV31SMG1FTAB89CVRXXZEWWE0M9AXB9ZP8S4NB,STX-A,1000000000,539000000,True
SP19HEA9K1C88HFD6FH02C6XEFQZNZERD1CXRF14D,STX-A,100000000,50000000,True
SP3PR5EGK1GTCC5HS2XQAHEEWJR0R3TJ6NXN1WA5,STX-B,5000000,2000000,True
SP2YEMKA37B0G9D28A4SC0E5S2ZZHZYWW4XXP2JEN,STX-A,18000000,10000000,True
SPN3RFQPYPQQPF03M92KM2R666VWR6A9DKZJ849V,STX-A,430157,315692,True
SP2B5ZG6JA7HBWP3DMC1600V02D1EQ2Z88HJGQD9V,STX-A,500000000,286000000,True
SP3RHQ7157Q7V5777ED6W1AY4E10QS50EWQAC08CE,STX-A,121396982,35000000,True
SP2372AN3AQ45BNNZ38FS65AKK6CEW8K2DHT7H9MD,STX-A,505774142,184624520,True
SP11Y7C0DBYAPQP7T9N2KVDY83YWTVPW86WBE8F62,STX-A,65062,21816,False
SP39TJN73M1F2HY5PAM67DY5EHTXBQGXA0CRBAHAG,STX-A,100000000,30000000,True
SP3RGQB4KTSAFKB2BN7R247QVETSYXC65A1509QCK,STX-B,10000000,3000000,True
SP247S5GNXWHGBTPN7R2MTQMAN20AGC4MK9V7H31S,STX-A,10000000,3000000,True
SP3JNQYXGCSMH5PKJGD9412RXMTW6N45YCY27GPQF,STX-A,27551,15704,False
SP202NP66G7XZK1KJ5V1J7YV4H6DZM91ZRMX3C31C,STX-A,81480,22022,True
SPTZMQZTKDWQ4MX6AJMR3VSY4C5BESHWSAF9NB56,STX-A,162862,44052,True
SPX0YTYZ0TPRFWFH4230ZV1DP7ENV1D0ECPBN18B,STX-A,164762,43764,True
SP1RDZTBNX4Z5TYP9EW12RYQ231M47PBSZYYH6T6X,STX-A,64513,21749,True
SP158V6RZEA7N9WQDYZMQZNSXJPTSYJWAGH1N8AYA,STX-A,19627051214,9414465658,True
SP282NE79YNR434627WPP4XPHCJQS2D0R3ADSWKTR,STX-A,100000000,59000000,True
SP17BWXNG7KYWCR7W6QCM771HTWNDR0K56C6TDRAP,STX-A,61931527,34000000,False
,,0,0,False
SPKJ2SJQ8QV9RFA2JJB9ZX05DK3S5TWY4ZYZCFYX,STX-A,83062,22067,True
SP3FYQYV42AV9E1NFTS85FJTAZY0VP97K6N2S8Z3V,STX-A,3436842,1200000,False
SP20NZZ0ZBAWN69Y82ABT140DS8DBG43H4YR7B5F,STX-A,101537841,46000000,False
